id;date;details;status;payment_method;payment_date;payment_amount
1;2020-10-15T17:45:31;RAM Focused;PAID;CASH_ON_DELIVERY;2020-10-16T02:07:38;64379
2;2020-10-15T14:35:37;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-10-15T19:45:55;17323
3;2020-10-15T19:03:02;Incredible Baby;CANCELLED;PAYPAL;2020-10-15T22:34:43;11017
4;2020-10-15T16:32:57;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-10-15T16:37:05;51438
5;2020-10-15T11:13:05;function;PAID;PAYPAL;2020-10-16T03:47:10;32278
6;2020-10-15T12:12:53;action-items;CANCELLED;CASH_ON_DELIVERY;2020-10-16T02:00:05;5232
7;2020-10-16T04:59:36;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-10-15T22:36:58;62169
8;2020-10-15T14:54:40;Toys;ISSUED;PAYPAL;2020-10-16T01:32:37;10756
9;2020-10-15T16:25:05;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-10-16T06:08:38;58055
10;2020-10-15T15:02:50;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-10-16T03:29:01;94075
