id;placed_date;status;code
1;2020-10-16T01:07:31;COMPLETED;Georgia calculate withdrawal
2;2020-10-15T12:04:01;COMPLETED;compress Steel out-of-the-box
3;2020-10-15T13:35:13;PENDING;Concrete
4;2020-10-16T03:01:08;CANCELLED;Investment Account
5;2020-10-15T14:17:58;PENDING;United States of America
6;2020-10-16T04:30:02;CANCELLED;IB Industrial Credit Card Account
7;2020-10-16T07:36:27;CANCELLED;Cotton Egyptian Pound
8;2020-10-15T16:32:31;COMPLETED;Home Loan Account
9;2020-10-16T01:26:47;COMPLETED;Human
10;2020-10-15T11:35:25;CANCELLED;payment
